---> Starting with dimension 16  and correlation 0 
Run: 1 out of 10  -  2025-06-11 09:51:51.046269 with b: -2 
Run: 2 out of 10  -  2025-06-11 09:51:51.047033 with b: -2 
Run: 3 out of 10  -  2025-06-11 09:51:51.052021 with b: -2 
Run: 4 out of 10  -  2025-06-11 09:51:51.052558 with b: -2 
Run: 5 out of 10  -  2025-06-11 09:51:51.053074 with b: -2 
Run: 6 out of 10  -  2025-06-11 09:51:51.053553 with b: -2 
Run: 7 out of 10  -  2025-06-11 09:51:51.058998 with b: -2 
Run: 8 out of 10  -  2025-06-11 09:51:51.059575 with b: -2 
Run: 9 out of 10  -  2025-06-11 09:51:51.060107 with b: -2 
Run: 10 out of 10  -  2025-06-11 09:51:51.060552 with b: -2 

 1 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:51.060986 with b: -1.789 
Run: 2 out of 10  -  2025-06-11 09:51:51.061401 with b: -1.789 
Run: 3 out of 10  -  2025-06-11 09:51:51.061852 with b: -1.789 
Run: 4 out of 10  -  2025-06-11 09:51:51.062278 with b: -1.789 
Run: 5 out of 10  -  2025-06-11 09:51:51.062729 with b: -1.789 
Run: 6 out of 10  -  2025-06-11 09:51:51.06316 with b: -1.789 
Run: 7 out of 10  -  2025-06-11 09:51:51.063631 with b: -1.789 
Run: 8 out of 10  -  2025-06-11 09:51:51.064078 with b: -1.789 
Run: 9 out of 10  -  2025-06-11 09:51:51.064521 with b: -1.789 
Run: 10 out of 10  -  2025-06-11 09:51:51.064943 with b: -1.789 

 2 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:51.065389 with b: -1.579 
Run: 2 out of 10  -  2025-06-11 09:51:51.065807 with b: -1.579 
Run: 3 out of 10  -  2025-06-11 09:51:51.066219 with b: -1.579 
Run: 4 out of 10  -  2025-06-11 09:51:51.066658 with b: -1.579 
Run: 5 out of 10  -  2025-06-11 09:51:51.067074 with b: -1.579 
Run: 6 out of 10  -  2025-06-11 09:51:51.067513 with b: -1.579 
Run: 7 out of 10  -  2025-06-11 09:51:51.067912 with b: -1.579 
Run: 8 out of 10  -  2025-06-11 09:51:51.068327 with b: -1.579 
Run: 9 out of 10  -  2025-06-11 09:51:51.068748 with b: -1.579 
Run: 10 out of 10  -  2025-06-11 09:51:51.069165 with b: -1.579 

 3 / 20 
Run: 1 out of 10  -  2025-06-11 09:51:51.069645 with b: -1.368 
Run: 2 out of 10  -  2025-06-11 09:51:51.070096 with b: -1.368 
Run: 3 out of 10  -  2025-06-11 09:51:51.070469 with b: -1.368 
Run: 4 out of 10  -  2025-06-11 09:51:51.070852 with b: -1.368 
